Day,Number of Bicycle Hires
8/12/2012,41734
8/13/2012,36101
8/14/2012,41532
8/15/2012,36557
8/16/2012,38181
8/17/2012,40821
8/18/2012,40577
8/19/2012,35370
8/20/2012,37997
8/21/2012,39185
8/22/2012,39962
8/23/2012,36578
8/24/2012,33329
8/25/2012,17802
8/26/2012,31939
8/27/2012,27522
8/28/2012,37362
8/29/2012,30916
8/30/2012,30379
8/31/2012,37406
9/1/2012,33123
9/2/2012,27997
9/3/2012,39941
9/4/2012,40298
9/5/2012,40606
9/6/2012,39864
9/7/2012,41414
9/8/2012,40978
9/9/2012,39006
9/10/2012,35489
9/11/2012,37276
9/12/2012,35654
9/13/2012,37938
9/14/2012,36653
9/15/2012,36493
9/16/2012,29785
9/17/2012,35954
9/18/2012,37026
9/19/2012,36136
9/20/2012,35929
9/21/2012,32347
9/22/2012,33867
9/23/2012,8452
9/24/2012,21229
9/25/2012,33706
9/26/2012,27202
9/27/2012,32416
9/28/2012,31880
9/29/2012,31223
9/30/2012,25263
10/1/2012,23627
10/2/2012,30107
10/3/2012,32695
10/4/2012,35136
10/5/2012,23773
10/6/2012,30424
10/7/2012,27168
10/8/2012,22984
10/9/2012,32965
10/10/2012,35221
10/11/2012,25324
10/12/2012,31694
10/13/2012,26289
10/14/2012,25440
10/15/2012,30558
10/16/2012,33253
10/17/2012,30285
10/18/2012,32566
10/19/2012,21001
10/20/2012,25411
10/21/2012,15563
10/22/2012,27294
10/23/2012,31996
10/24/2012,33882
10/25/2012,29515
10/26/2012,26404
10/27/2012,17144
10/28/2012,15305
10/29/2012,24276
10/30/2012,30325
10/31/2012,29241
11/1/2012,26888
11/2/2012,28748
11/3/2012,21498
11/4/2012,11693
11/5/2012,27666
11/6/2012,27038
11/7/2012,29537
11/8/2012,29895
11/9/2012,29349
11/10/2012,18018
11/11/2012,20971
11/12/2012,23680
11/13/2012,30511
11/14/2012,31453
11/15/2012,30165
11/16/2012,28143
11/17/2012,20325
11/18/2012,21664
11/19/2012,28127
11/20/2012,25921
11/21/2012,20554
11/22/2012,27783
11/23/2012,27973
11/24/2012,8902
11/25/2012,16894
11/26/2012,20656
11/27/2012,20388
11/28/2012,21403
11/29/2012,26212
11/30/2012,24838
12/1/2012,16068
12/2/2012,15227
12/3/2012,23592
12/4/2012,26144
12/5/2012,23111
12/6/2012,22645
12/7/2012,20140
12/8/2012,17805
12/9/2012,14147
12/10/2012,23937
12/11/2012,23531
12/12/2012,22344
12/13/2012,21704
12/14/2012,17085
12/15/2012,16962
12/16/2012,14128
12/17/2012,22899
12/18/2012,23651
12/19/2012,16828
12/20/2012,12401
12/21/2012,20395
12/22/2012,5644
12/23/2012,9184
12/24/2012,7985
12/25/2012,16816
12/26/2012,10405
12/27/2012,9013
12/28/2012,10947
12/29/2012,8498
12/30/2012,11343
12/31/2012,8865
1/1/2013,12149
1/2/2013,16203
1/3/2013,21269
1/4/2013,22435
1/5/2013,16242
1/6/2013,13622
1/7/2013,23348
1/8/2013,25909
1/9/2013,25341
1/10/2013,24363
1/11/2013,23869
1/12/2013,13562
1/13/2013,12260
1/14/2013,17427
1/15/2013,22797
1/16/2013,22460
1/17/2013,22210
1/18/2013,13108
1/19/2013,7843
1/20/2013,3728
1/21/2013,13467
1/22/2013,18061
1/23/2013,19404
1/24/2013,20721
1/25/2013,20178
1/26/2013,14595
1/27/2013,13689
1/28/2013,18689
1/29/2013,21268
1/30/2013,23415
1/31/2013,21957
2/1/2013,18081
2/2/2013,15757
2/3/2013,13572
2/4/2013,23017
2/5/2013,21177
2/6/2013,20664
2/7/2013,20852
2/8/2013,20571
2/9/2013,11274
2/10/2013,4901
2/11/2013,13468
2/12/2013,20342
2/13/2013,21051
2/14/2013,21034
2/15/2013,22952
2/16/2013,19072
2/17/2013,19044
2/18/2013,22724
2/19/2013,24525
2/20/2013,20938
2/21/2013,19757
2/22/2013,18313
2/23/2013,11234
2/24/2013,9404
2/25/2013,19800
2/26/2013,19595
2/27/2013,21484
2/28/2013,21985
3/1/2013,19487
3/2/2013,15265
3/3/2013,14520
3/4/2013,23036
3/5/2013,27054
3/6/2013,24324
3/7/2013,17322
3/8/2013,13843
3/9/2013,14244
3/10/2013,10163
3/11/2013,16546
3/12/2013,18794
3/13/2013,20245
3/14/2013,21984
3/15/2013,17159
3/16/2013,9190
3/17/2013,7940
3/18/2013,15852
3/19/2013,22479
3/20/2013,22216
3/21/2013,22061
3/22/2013,16233
3/23/2013,5249
3/24/2013,6786
3/25/2013,17290
3/26/2013,18384
3/27/2013,19184
3/28/2013,18052
3/29/2013,10909
3/30/2013,9793
3/31/2013,9007
4/1/2013,9421
4/2/2013,19148
4/3/2013,17801
4/4/2013,15626
4/5/2013,18059
4/6/2013,18216
4/7/2013,18090
4/8/2013,21797
4/9/2013,17555
4/10/2013,22233
4/11/2013,19240
4/12/2013,15100
4/13/2013,11291
4/14/2013,25074
4/15/2013,24923
4/16/2013,26060
4/17/2013,25730
4/18/2013,23979
4/19/2013,24297
4/20/2013,26724
4/21/2013,22466
4/22/2013,25384
4/23/2013,31359
4/24/2013,30193
4/25/2013,32000
4/26/2013,23125
4/27/2013,17337
4/28/2013,19139
4/29/2013,27644
4/30/2013,29219
5/1/2013,31175
5/2/2013,31239
5/3/2013,31340
5/4/2013,19156
5/5/2013,24342
5/6/2013,29015
5/7/2013,30707
5/8/2013,26032
5/9/2013,24250
5/10/2013,26399
5/11/2013,16627
5/12/2013,15918
5/13/2013,24836
5/14/2013,18054
5/15/2013,24015
5/16/2013,26070
5/17/2013,24932
5/18/2013,22272
5/19/2013,23994
5/20/2013,25914
5/21/2013,27649
5/22/2013,26967
5/23/2013,24701
5/24/2013,12891
5/25/2013,21087
5/26/2013,27251
5/27/2013,25819
5/28/2013,14556
5/29/2013,21440
5/30/2013,22150
5/31/2013,29136
6/1/2013,24782
6/2/2013,27202
6/3/2013,29940
6/4/2013,32397
6/5/2013,32488
6/6/2013,32829
6/7/2013,28762
6/8/2013,27264
6/9/2013,19429
6/10/2013,27336
6/11/2013,26601
6/12/2013,24401
6/13/2013,26388
6/14/2013,28797
6/15/2013,16020
6/16/2013,19970
6/17/2013,28611
6/18/2013,30871
6/19/2013,31899
6/20/2013,29959
6/21/2013,28844
6/22/2013,19483
6/23/2013,19006
6/24/2013,27636
6/25/2013,31889
6/26/2013,31156
6/27/2013,27306
6/28/2013,22074
6/29/2013,29054
6/30/2013,31237
7/1/2013,31151
7/2/2013,30163
7/3/2013,30780
7/4/2013,32941
7/5/2013,34704
7/6/2013,34191
7/7/2013,31363
7/8/2013,34263
7/9/2013,35519
7/10/2013,33629
7/11/2013,33792
7/12/2013,33173
7/13/2013,33509
7/14/2013,32169
7/15/2013,34419
7/16/2013,35580
7/17/2013,35203
7/18/2013,35330
7/19/2013,35196
7/20/2013,28332
7/21/2013,30075
7/22/2013,33176
7/23/2013,31624
7/24/2013,34038
7/25/2013,33683
7/26/2013,34681
7/27/2013,25761
7/28/2013,28177
7/29/2013,30415
7/30/2013,22742
7/31/2013,28976
8/1/2013,34770
8/2/2013,29109
8/3/2013,34928
8/4/2013,32580
8/5/2013,23864
8/6/2013,33631
8/7/2013,33084
8/8/2013,33737
8/9/2013,28206
8/10/2013,28830
8/11/2013,29530
8/12/2013,30425
8/13/2013,30933
8/14/2013,31412
8/15/2013,30865
8/16/2013,25555
8/17/2013,23931
8/18/2013,26910
8/19/2013,31183
8/20/2013,33578
8/21/2013,33214
8/22/2013,22363
8/23/2013,30665
8/24/2013,7341
8/25/2013,21638
8/26/2013,27802
8/27/2013,29563
8/28/2013,32024
8/29/2013,31639
8/30/2013,31127
8/31/2013,29718
9/1/2013,23856
9/2/2013,31292
9/3/2013,31600
9/4/2013,33406
9/5/2013,33574
9/6/2013,20930
9/7/2013,21279
9/8/2013,18046
9/9/2013,17943
9/10/2013,24558
9/11/2013,23386
9/12/2013,24246
9/13/2013,15392
9/14/2013,12977
9/15/2013,4826
9/16/2013,21892
9/17/2013,18428
9/18/2013,25319
9/19/2013,18746
9/20/2013,26196
9/21/2013,21988
9/22/2013,22683
9/23/2013,26625
9/24/2013,28666
9/25/2013,28183
9/26/2013,28857
9/27/2013,27371
9/28/2013,21716
9/29/2013,20654
9/30/2013,27089
10/1/2013,27711
10/2/2013,26467
10/3/2013,25153
10/4/2013,26522
10/5/2013,22996
10/6/2013,25143
10/7/2013,26680
10/8/2013,27598
10/9/2013,26433
10/10/2013,23497
10/11/2013,15640
10/12/2013,17068
10/13/2013,7068
10/14/2013,18979
10/15/2013,24657
10/16/2013,20562
10/17/2013,25170
10/18/2013,24880
10/19/2013,17430
10/20/2013,11396
10/21/2013,21385
10/22/2013,22316
10/23/2013,24178
10/24/2013,26399
10/25/2013,23677
10/26/2013,16986
10/27/2013,15652
10/28/2013,14577
10/29/2013,23126
10/30/2013,24753
10/31/2013,20055
11/1/2013,20597
11/2/2013,15347
11/3/2013,13063
11/4/2013,20369
11/5/2013,19326
11/6/2013,18431
11/7/2013,22527
11/8/2013,15188
11/9/2013,6772
11/10/2013,9767
11/11/2013,14377
11/12/2013,19572
11/13/2013,22021
11/14/2013,21061
11/15/2013,20850
11/16/2013,15029
11/17/2013,12340
11/18/2013,18491
11/19/2013,20335
11/20/2013,14115
11/21/2013,18668
11/22/2013,18789
11/23/2013,13276
11/24/2013,10505
11/25/2013,19201
11/26/2013,20486
11/27/2013,20274
11/28/2013,20649
11/29/2013,19397
11/30/2013,13323
12/1/2013,11711
12/2/2013,19630
12/3/2013,20242
12/4/2013,20035
12/5/2013,18326
12/6/2013,18494
12/7/2013,13625
12/8/2013,13076
12/9/2013,19969
12/10/2013,20432
12/11/2013,19123
12/12/2013,19420
12/13/2013,16921
12/14/2013,14049
12/15/2013,8557
12/16/2013,13825
12/17/2013,15689
12/18/2013,17311
12/19/2013,17738
12/20/2013,18046
12/21/2013,5774
12/22/2013,9233
12/23/2013,6246
12/24/2013,6201
12/25/2013,27715
12/26/2013,7666
12/27/2013,7258
12/28/2013,10533
12/29/2013,10983
12/30/2013,8413
12/31/2013,7701
1/1/2014,4327
1/2/2014,15820
1/3/2014,11636
1/4/2014,6918
1/5/2014,9145
1/6/2014,13066
1/7/2014,17420
1/8/2014,19770
1/9/2014,19143
1/10/2014,18840
1/11/2014,15723
1/12/2014,11975
1/13/2014,17721
1/14/2014,20740
1/15/2014,19243
1/16/2014,18861
1/17/2014,17434
1/18/2014,15333
1/19/2014,16083
1/20/2014,21218
1/21/2014,21756
1/22/2014,21072
1/23/2014,20020
1/24/2014,19272
1/25/2014,14581
1/26/2014,7033
1/27/2014,18285
1/28/2014,19939
1/29/2014,10585
1/30/2014,17052
1/31/2014,13859
2/1/2014,13981
2/2/2014,15924
2/3/2014,20370
2/4/2014,21217
2/5/2014,29418
2/6/2014,25395
2/7/2014,19857
2/8/2014,10928
2/9/2014,11657
2/10/2014,19278
2/11/2014,18514
2/12/2014,18000
2/13/2014,20954
2/14/2014,12794
2/15/2014,11208
2/16/2014,18484
2/17/2014,19013
2/18/2014,19484
2/19/2014,21556
2/20/2014,19396
2/21/2014,21269
2/22/2014,20033
2/23/2014,13680
2/24/2014,21469
2/25/2014,20713
2/26/2014,23938
2/27/2014,20629
2/28/2014,13781
3/1/2014,18823
3/2/2014,11727
3/3/2014,18150
3/4/2014,23069
3/5/2014,25102
3/6/2014,24696
3/7/2014,24385
3/8/2014,25556
3/9/2014,33955
3/10/2014,24347
3/11/2014,23871
3/12/2014,27173
3/13/2014,27552
3/14/2014,28134
3/15/2014,29664
3/16/2014,34421
3/17/2014,26465
3/18/2014,25502
3/19/2014,26719
3/20/2014,23718
3/21/2014,23821
3/22/2014,19091
3/23/2014,17463
3/24/2014,24055
